,Open,High,Low,Close,Volume,DeliveryPct
2025-03-26,75.69,77.25,75.4,76.24,20718143.0,57.71
2025-03-27,75.9,76.74,74.96,75.94,27995886.0,53.93
2025-03-28,76.4,77.45,75.35,75.73,29733998.0,77.16
2025-04-01,76.8,78.14,75.9,77.36,14007197.0,37.22
2025-04-02,77.49,79.1,75.83,78.84,14793006.0,67.82
2025-04-03,78.26,83.2,78.11,82.7,24331046.0,37.96
2025-04-04,83.15,84.08,80.31,80.74,29180057.0,48.88
2025-04-07,77.0,83.0,76.66,82.22,57951987.0,48.31
2025-04-08,83.92,85.85,81.87,85.38,23365934.0,41.14
2025-04-09,85.65,86.55,84.5,85.85,14444164.0,40.12
2025-04-11,86.1,87.14,85.07,85.72,31659595.0,59.59
2025-04-15,87.0,87.07,85.71,86.03,28056085.0,66.48
2025-04-16,86.0,86.55,84.8,85.64,7446581.0,45.63
2025-04-17,85.5,87.5,85.49,86.53,8528599.0,48.43
2025-04-21,87.2,87.4,86.03,86.75,9542428.0,54.09
2025-04-22,86.98,87.95,86.2,86.65,12081653.0,46.92
2025-04-23,87.0,87.9,85.71,87.57,7867039.0,53.09
2025-04-24,87.75,89.5,87.3,89.0,16901230.0,54.86
2025-04-25,89.72,90.19,83.86,85.5,18253042.0,43.82
2025-04-28,85.0,88.97,84.86,88.17,15728517.0,54.9
2025-04-29,88.17,90.08,88.06,89.4,40899069.0,72.08
2025-04-30,89.2,89.77,86.64,87.19,21631744.0,68.16
2025-05-02,87.15,88.88,87.02,87.22,6521005.0,52.13
2025-05-05,87.39,88.68,87.27,88.09,5839967.0,49.96
2025-05-06,88.08,88.36,85.96,86.42,5035966.0,47.0
2025-05-07,84.5,87.57,84.5,87.02,7743072.0,41.86
2025-05-08,87.02,87.55,84.05,84.82,6727434.0,54.63
2025-05-09,82.2,84.5,80.5,84.2,9617387.0,45.95
2025-05-12,88.0,89.06,87.06,88.06,19514300.0,67.23
2025-05-13,88.06,88.39,86.93,87.19,5097283.0,47.92
2025-05-14,87.69,88.29,87.15,87.61,4455214.0,53.72
2025-05-15,88.25,89.82,87.78,89.14,10063479.0,54.32
2025-05-16,90.1,91.75,88.51,91.07,17512752.0,44.68
2025-05-19,91.65,91.72,87.2,87.43,13853534.0,50.38
2025-05-20,87.98,88.12,85.65,85.81,7335499.0,54.48
2025-05-21,84.7,87.75,84.7,87.63,8434940.0,46.4
2025-05-22,87.55,89.31,87.05,88.95,11246188.0,56.59
2025-05-23,89.7,89.7,86.6,86.86,14874983.0,44.37
2025-05-26,87.4,87.4,85.81,86.51,7586067.0,40.6
2025-05-27,86.4,87.27,86.07,86.79,9011624.0,58.53
2025-05-28,87.0,87.1,86.12,86.28,4888292.0,51.49
2025-05-29,86.51,86.69,85.63,86.48,5258085.0,54.84
2025-05-30,86.75,86.75,83.4,84.08,22217071.0,61.35
2025-06-02,84.05,85.85,83.66,85.54,7079328.0,47.22
2025-06-03,85.75,86.02,84.76,85.34,7063568.0,60.15
2025-06-04,85.34,85.6,83.9,83.99,9835009.0,72.96
2025-06-05,84.36,85.5,83.99,84.91,7124566.0,60.39
2025-06-06,85.0,86.54,84.74,86.26,7098507.0,51.81
2025-06-09,86.69,87.17,86.01,86.37,6525950.0,59.44
2025-06-10,86.35,86.43,84.95,85.08,8154804.0,64.31
2025-06-11,85.05,85.94,84.15,84.45,4614887.0,53.41
2025-06-12,84.5,85.2,81.33,81.91,8031240.0,56.51
2025-06-13,80.4,81.65,79.92,80.9,20850809.0,66.72
2025-06-16,81.8,83.86,80.9,83.57,11215638.0,52.09
2025-06-17,83.59,84.19,82.41,82.76,6610310.0,60.02
2025-06-18,83.23,83.55,82.53,82.75,6693801.0,48.29
2025-06-19,82.8,83.05,80.25,80.55,12955527.0,64.33
2025-06-20,80.55,81.7,80.38,80.97,71820397.0,78.84
2025-06-23,80.88,82.0,80.38,81.39,7720298.0,41.35
2025-06-24,82.0,83.8,81.81,83.2,11982995.0,58.64
2025-06-25,83.8,83.8,82.96,83.58,13168294.0,63.48
2025-06-26,83.8,85.0,83.44,84.87,14072936.0,53.12
